datetime,open,high,low,close,Currency pair,interval,currency_base,currency_qoute, type
27-08-2021 03:10,,1.1756,1.17555,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:09,,1.1756,,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:08,,,1.17555,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:07,,1.1756,1.17545,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:06,,1.1756,1.17555,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:05,,1.1756,,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:04,,1.1756,1.17545,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:03,,1.1755,1.1755,1.1755,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:02,,1.17555,1.1754,1.1755,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:01,,1.1755,1.1753,1.1755,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:00,,1.1754,1.1752,1.17535,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:59,,1.1754,1.17525,1.17525,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:58,,1.1754,1.1753,1.17535,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:57,,1.1755,,1.17535,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:56,,1.1756,1.1754,1.17545,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:55,,1.1756,1.17545,1.17545,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:54,,1.17565,1.17555,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:53,,1.1757,1.1756,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:52,,1.17565,1.17565,1.17565,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:51,,1.17565,,1.17565,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:50,,,1.17555,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:49,,,1.17555,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:48,,1.1757,1.1756,1.17565,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:47,1.17565,1.17565,1.1756,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:15,1.17555,1.1756,,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 03:10,1.17555,1.17565,1.17555,1.17555,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 03:05,1.1756,1.1756,1.17545,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
